Category,Type,English Text,Location,Notes
Main UI Texts,Header,"Shopping Cart",activity_cart.xml,Main screen title
Main UI Texts,Header,"Checkout",activity_check_out.xml,Checkout screen title
Main UI Texts,Header,"Edit Profile",activity_edit_profile.xml,Profile edit screen title
Main UI Texts,Header,"ELECTRONICS AND INNOVATION",activity_loading.xml,Loading screen subtitle
Main UI Texts,Header,"INITIALIZING SYSTEMS",activity_loading.xml,Loading screen message
Main UI Texts,Branding,"CORE-TECH",activity_login.xml; activity_loading.xml; activity_reset_pass.xml,App brand name
Main UI Texts,Welcome,"Welcome to CORE- TECH",activity_login.xml,Login welcome message
Main UI Texts,Tagline,"Your gateway to the next generation of electronics.",activity_login.xml,Login tagline
Main UI Texts,Form,"Create Account",activity_register.xml,Registration header
Main UI Texts,Form,"Join Core-Tech for the best electronics deals.",activity_register.xml,Registration description
Main UI Texts,Form,"Reset Password",activity_reset_pass.xml,Password reset header
Main UI Texts,Form,"Enter the email or phone number associated with your account and we'll send an OTP to verify your identity.",activity_reset_pass.xml,Password reset instructions
Main UI Texts,Form,"Verify Your Identity",activity_otp.xml,OTP verification header
Main UI Texts,Form,"Enter the 6-digit code sent to your email",activity_otp.xml,OTP instructions
Main UI Texts,Product,"Product Name",bottom_sheet_product_options.xml,Product display
Main UI Texts,Product,"Stock: 0",bottom_sheet_product_options.xml,Stock indicator
Main UI Texts,Product,"Color",bottom_sheet_product_options.xml,Product option label
Main UI Texts,Product,"Size",bottom_sheet_product_options.xml,Product option label
Main UI Texts,Product,"Quantity",bottom_sheet_product_options.xml,Product option label
Main UI Texts,Product,"+ ADD TO CART",bottom_sheet_product_options.xml,Action button
Main UI Texts,Product,"You also like",activity_detail.xml,Related products section
Main UI Texts,Button,"Login",activity_login.xml,Action button
Main UI Texts,Button,"Register",activity_register.xml,Action button
Main UI Texts,Button,"Sign Up",activity_login.xml,Action button
Main UI Texts,Button,"Send OTP >",activity_reset_pass.xml,Action button
Main UI Texts,Button,"Back to Login",activity_reset_pass.xml,Navigation button
Main UI Texts,Button,"Verify",activity_otp.xml,Action button
Main UI Texts,Button,"Resend OTP",activity_otp.xml,Action button
Main UI Texts,Button,"Add to Cart",activity_detail.xml,Action button
Main UI Texts,Button,"Save Changes",activity_edit_profile.xml,Action button
Main UI Texts,Button,"Cancel",activity_edit_profile.xml,Action button
Main UI Texts,Checkout,"Shipping Address",activity_check_out.xml,Checkout section
Main UI Texts,Checkout,"Payment Method",activity_check_out.xml,Checkout section
Main UI Texts,Checkout,"Your Items",activity_check_out.xml,Checkout section
Main UI Texts,Checkout,"Voucher",activity_check_out.xml,Checkout section
Main UI Texts,Cart,"All",activity_cart.xml,Filter option
Main UI Texts,Financial,"Subtotal: $0",activity_cart.xml,Price calculation
Main UI Texts,Financial,"Tax: $0",activity_cart.xml,Price calculation
Main UI Texts,Financial,"Order Total: $0",activity_cart.xml,Price calculation
Main UI Texts,Financial,"Subtotal: $0.00",activity_check_out.xml,Price calculation
Main UI Texts,Financial,"Tax: $0.00",activity_check_out.xml,Price calculation
Main UI Texts,Financial,"Total: $1249",activity_check_out.xml,Price calculation
Main UI Texts,Social,"OR CONTINUE WITH",activity_login.xml,Social login header
Main UI Texts,Social,"Google",activity_login.xml,Social login option
Main UI Texts,Social,"FaceBook",activity_login.xml,Social login option
Main UI Texts,Profile,"ACCOUNT",fragment_profile.xml,Menu section header
Main UI Texts,Profile,"My Orders",fragment_profile.xml,Menu item
Main UI Texts,Profile,"Shipping Address",fragment_profile.xml,Menu item
Main UI Texts,Profile,"Payment Methods",fragment_profile.xml,Menu item
Main UI Texts,Profile,"Wishlist",fragment_profile.xml,Menu item
Main UI Texts,Profile,"SETTINGS",fragment_profile.xml,Menu section header
Main UI Texts,Profile,"Notifications",fragment_profile.xml,Menu item
Main UI Texts,Profile,"Privacy & Security",fragment_profile.xml,Menu item
Main UI Texts,Profile,"Language",fragment_profile.xml,Menu item
Main UI Texts,Profile,"English",fragment_profile.xml,Language selection
Main UI Texts,Profile,"Dark Mode",fragment_profile.xml,Settings option
Main UI Texts,Profile,"Logout",fragment_profile.xml,Action button
Toast Messages,Authentication,"Nhập đầy đủ",LoginActivity; RegisterActivity,Validation error - Vietnamese
Toast Messages,Authentication,"Email không hợp lệ",RegisterActivity,Validation error - Vietnamese
Toast Messages,Authentication,"Mật khẩu không khớp",RegisterActivity,Validation error - Vietnamese
Toast Messages,Authentication,"Firebase lỗi: {error}",RegisterActivity,Error handling - Vietnamese
Toast Messages,Authentication,"Đăng ký thành công",RegisterActivity,Success message - Vietnamese
Toast Messages,Authentication,"Email đã tồn tại hoặc lỗi server",RegisterActivity,Error message - Vietnamese
Toast Messages,Authentication,"Login thành công",LoginActivity,Success message - Vietnamese
Toast Messages,Authentication,"Sai tài khoản hoặc mật khẩu",LoginActivity,Error message - Vietnamese
Toast Messages,Authentication,"Không lấy được token",LoginActivity,Error message - Vietnamese
Toast Messages,Authentication,"Google login fail",LoginActivity,Error message
Toast Messages,Authentication,"Firebase fail",LoginActivity,Error message
Toast Messages,Authentication,"Google account không có email",LoginActivity,Error message - Vietnamese
Toast Messages,Authentication,"Google login thành công",LoginActivity,Success message - Vietnamese
Toast Messages,Authentication,"Sync server lỗi: {error}",LoginActivity,Error message - Vietnamese
Toast Messages,Authentication,"Lỗi tạo request sync server",LoginActivity,Error message - Vietnamese
Toast Messages,Product,"You have {count} notification(s)",HomeFragment,Info message
Toast Messages,Product,"No new notifications",HomeFragment,Info message
Toast Messages,Product,"Invalid product data",DetailActivity,Error message
Toast Messages,Product,"Invalid product",DetailActivity,Error message
